userId,questionsCount,answersCount,commentsCount
21989328,1,0,0
12867694,6,0,8
15280633,1,0,1
21989260,1,0,0
1716558,23,19,34
8420784,2,1,3
21906550,2,0,1
15648533,1,0,2
17422842,2,0,1
14420635,6,0,2
1958210,21,18,41
16890936,2,0,0
7410381,4,6,14
15880250,1,0,0
1480437,3,0,7
16480070,18,0,10
20951437,2,0,4
559111,100,5,100
9130980,6,0,2
16775102,4,69,88
10713219,1,1,1
21981344,2,0,0
16051560,2,0,0
6715565,7,2,13
19587826,2,0,0
21866347,2,0,4
21988298,1,0,0
21988140,1,0,4
21987802,1,0,0
2427078,100,5,100
20620970,1,0,0
14711811,5,0,3
21457174,1,0,1
